Depth,BD,LOI,C
0,0.045,81.4968,44.82323906
2.5,0.092,77.7273,42.75003783
5,0.109,68.9661,37.93136909
7.5,0.132,66.6007,36.63037149
10,0.145,57.0269,31.36478945
12.5,0.167,53.6035,29.48194222
15,0.163,64.2259,35.32424889
17.5,0.224,55.9111,30.75112808
20,0.263,52.7136,28.99249687
22.5,0.261,46.0792,25.34356532
25,0.247,40.9822,22.5402061
27.5,0.412,38.4654,21.15599027
30,0.338,32.9272,18.10994441
32.5,0.383,36.7267,20.19967039
35,0.336,37.0522,20.37872099
37.5,0.303,36.0646,19.83555133
40,0.285,35.9773,19.78749156
42.5,0.243,42.6357,23.44965735
45,0.294,41.5138,22.83259424
47.5,0.237,39.7871,21.88292378
50,0.146,34.9094,19.20019448
52.5,0.246,32.5696,17.91325696
55,0.204,34.1974,18.80854729
57.5,0.205,41.2469,22.68578554
60,0.173,40.1684,22.09260615
62.5,0.219,67.6069,37.18376882
65,0.228,70.2038,38.61211226
67.5,0.231,78.898,43.39389842
70,0.17,77.7191,42.74550352
72.5,0.164,74.1265,40.76959396
75,0.171,69.8347,38.40909091
77.5,0.147,78.9423,43.41824813
80,0.106,78.2399,43.03193324
82.5,0.147,72.0202,39.61112496
85,0.135,65.3807,35.95935797
87.5,0.151,65.5109,36.0309911
90,0.12,67.253,36.98916767
92.5,0.139,65.1029,35.80662091
95,0.139,57.8476,31.81619367
97.5,0.146,57.9284,31.86061381
100,0.156,54.4787,29.96330761
102.5,0.165,50.5502,27.802589
105,0.164,50.8914,27.99026694
107.5,0.148,49.5121,27.2316504
110,0.164,47.5003,26.12514472
112.5,0.239,36.3963,20.01796007
115,0.308,28.257,15.54134235
117.5,0.306,25.1498,13.83240912
120,0.389,21.2937,11.71155298
122.5,0.405,17.4486,9.596738159
125,0.443,15.5081,8.529440725
127.5,0.526,13.0504,7.17774447
130,0.459,12.8055,7.043052191
132.5,0.458,12.5265,6.889575972
135,0.489,10.7517,5.913459055
137.5,0.505,10.4052,5.722865837
140,0.501,10.2841,5.656240484
142.5,0.565,9.4006,5.17032818
145,0.619,8.6129,4.737067545
147.5,0.584,8.0768,4.442229605
150,0.556,9.8935,5.441400304
152.5,0.649,10.8227,5.952462283
155,0.616,11.7471,6.46091236
157.5,0.602,12.792,7.035587122
160,0.6,13.8056,7.593102688
162.5,0.507,13.2409,7.282479598
165,0.676,12.6251,6.943821574
167.5,0.655,12.5926,6.925917521
170,0.624,12.558,6.906889655
172.5,0.624,13.5875,7.473105471
175,0.563,14.3662,7.901403464
177.5,0.568,13.9932,7.696239218
180,0.574,13.5568,7.456222934
182.5,0.6,12.9426,7.118442935
185,0.566,12.4194,6.830665084
187.5,0.699,11.3809,6.259518782
190,0.639,10.3481,5.691470691
192.5,0.533,13.1322,7.222686813
195,0.468,15.3572,8.446433581
197.5,0.447,15.617,8.589338767
200,0.452,16.0233,8.81280906
202.5,0.653,14.1916,7.805384006
205,0.592,12.9852,7.141881599
207.5,0.737,12.3688,6.802820442
210,0.69,11.8524,6.518841154
212.5,0.765,8.6244,4.743401834
215,0.962,5.8799,3.23396297
217.5,1.037,4.4721,2.459648522
220,1.325,2.5911,1.425126808
222.5,1.289,3.1617,1.73891486
225,1.252,3.7685,2.072658658
227.5,1.201,4.7495,2.612251878
230,1.026,5.5323,3.042791408
232.5,1.022,5.3412,2.937661465
235,1.191,5.1537,2.834508874
237.5,1.002,4.9361,2.714859349
240,0.907,4.6877,2.57822709
242.5,1.097,5.267,2.896861273
245,0.979,5.7366,3.155112652
247.5,0.945,4.1195,2.265730489
250,0,0,0
