Depth,BD,LOI,C
0,0.248,62.9931,34.64621165
5,0.3,52.243,28.73364486
10,0.322,50.8751,27.98129149
15,0.395,52.1923,28.70576751
20,0.347,28.7387,15.80627537
25,0.601,27.2431,14.98373027
30,0.571,24.4896,13.46929682
35,0.92,47.7387,26.25629512
40,0.647,64.6167,35.53919567
45,0.447,33.9393,18.66660515
50,0.754,20.7499,11.41242938
55,0.79,15.8112,8.696142899
60,1.154,12.4932,6.871267091
65,1.31,11.0816,6.094898447
70,1.595,10.474,5.760716257
75,1.86,30.1838,16.60107575
80,1.69,7.9849,4.391698113
85,1.431,7.8753,4.331392725
90,0.991,8.3414,4.587763387
95,1.002,9.3601,5.148072914
100,1.215,35.204,19.3622142
105,1.061,11.6239,6.393162393
110,1.01,15.6303,8.596663395
115,1.208,10.3428,5.688529015
120,0,0,0
