Depth,BD,LOI,C
0,0.527806452,62.9322,34.61273446
5,0.826645161,69.4675,38.20711943
10,1.005290323,67.0574,36.88159437
15,1.019677419,11.2826,6.205428419
20,1.040258065,8.7723,4.824753197
25,1.074645161,8.1221,4.46714631
30,1.086516129,8.1819,4.500041873
35,1.046322581,10.0553,5.530395757
40,1.036129032,11.7154,6.4434518
45,0.532709677,23.7379,13.05585392
50,0.704516129,15.1141,8.312732389
55,0.76483871,12.4158,6.828672881
60,0.929935484,52.8695,29.07822021
65,0.275225806,41.9601,23.07803254
70,0.262709677,39.5297,21.74131538
75,0.245354839,33.4208,18.38145232
80,0,0,0
