Depth,BD,LOI,C
0,0.305,55.9473,30.77100115
2.5,0.245,43.4884,23.91861734
5,0.33,32.2584,17.74210278
7.5,0.447,26.0987,14.35429344
10,0.515,21.0966,11.60310897
12.5,0.583,15.2604,8.393226346
15,0.789,10.8833,5.985814381
17.5,0.952,8.4805,4.664270135
20,1.008,7.54,4.146977497
22.5,1.119,7.3105,4.020792579
25,1.094,6.7707,3.723882571
27.5,1.134,4.645,2.554755666
30,1.117,2.6757,1.471625992
32.5,1.174,2.3944,1.316935133
35,0.985,2.2637,1.245046686
37.5,0.905,6.6883,3.678548661
40,0.74,22.1541,12.18476357
42.5,0.574,21.3086,11.71971835
45,0.652,20.8897,11.48933233
47.5,0.715,19.6726,10.81994775
50,0.704,16.7686,9.222734544
52.5,0.758,16.187,8.902869386
55,0.804,15.718,8.644884639
57.5,0.736,13.8038,7.592113246
60,0.846,11.6201,6.391029526
62.5,0.956,8.8458,4.865170201
65,0.979,6.0715,3.339310875
67.5,1.122,5.5643,3.060389203
70,1.26,5.2373,2.88050886
72.5,1.377,5.335,2.934246072
75,1.316,5.3859,2.962230061
77.5,1.326,4.392,2.415614665
80,1.271,2.9119,1.601531217
82.5,1.164,5.1552,2.83538625
85,1.071,8.7274,4.800051007
87.5,0.978,8.065,4.435731277
90,1.122,7.7509,4.262998791
92.5,1.173,6.8151,3.748285058
95,1.007,5.1698,2.843416521
97.5,0.889,5.1718,2.844484629
100,1.085,5.1743,2.845883926
102.5,1.28,3.8801,2.134028831
105,1.157,2.7715,1.52435243
107.5,1.084,2.2955,1.262538782
110,1.242,1.9795,1.088712232
112.5,1.445,1.829,1.005954497
115,1.307,1.6366,0.900105323
117.5,0.93,4.2448,2.334614585
120,0.944,6.9911,3.845120287
122.5,0.918,8.4781,4.66292864
125,0.709,10.7898,5.934412096
127.5,0.5,9.6961,5.33285328
130,0.78,8.8255,4.854051201
132.5,0.948,9.0745,4.990985577
135,0.926,7.3096,4.020304569
137.5,0.914,7.6908,4.22995283
140,1.008,8.0509,4.427975818
142.5,1.08,5.2018,2.860983798
145,1.009,3.7721,2.074668396
147.5,0.905,4.4156,2.428592131
150,0.715,5.866,3.226293205
152.5,0.908,6.7522,3.713693484
155,0.88,7.833,4.308143547
157.5,0.846,7.1878,3.953305352
160,1.005,6.5248,3.588652482
162.5,1.086,4.8674,2.677087888
165,1.018,4.0277,2.215218303
167.5,1.097,3.0043,1.652340346
170,1.179,1.6439,0.904151574
172.5,1.241,1.856,1.020803184
175,1.285,2.0327,1.117982558
177.5,1.351,2.3888,1.313855516
180,1.297,2.7053,1.487932101
182.5,1.243,3.0669,1.686815531
185,1.277,3.3496,1.842287136
187.5,1.206,2.6199,1.440949673
190,1.235,1.8667,1.026680617
192.5,1.203,2.027,1.11483627
195,1.231,2.1648,1.190617334
198,0,0,0
