Depth,BD,LOI,C
0,0.164,52.7555,29.01551891
2.5,0.244,54.5504,30.00271318
5,0.298,39.4544,21.69989507
7.5,0.288,25.497,14.02333621
10,0.445,18.5575,10.20661157
12.5,0.856,8.2399,4.531959533
15,0.88,5.2797,2.903836284
17.5,1.068,5.5585,3.057188669
20,1.523,5.3612,2.948677458
22.5,1.264,4.9579,2.726867887
25,1.297,4.9307,2.711897206
27.5,1.084,5.1227,2.817474806
30,1.275,5.0157,2.758632852
32.5,1.305,5.4416,2.992880806
35,1.472,5.9082,3.24951055
37.5,1.169,6.8086,3.744729227
40,1.115,7.1192,3.915562914
42.5,1.066,9.3232,5.127769056
45,1.109,7.1023,3.906277537
47.5,1.22,6.5713,3.614212608
50,1.39,6.9418,3.817982209
52.5,1.167,6.1509,3.382976147
55,1.242,6.5685,3.612692342
57.5,0.978,7.6778,4.222811218
60,0.983,7.7605,4.268288721
62.5,1.215,7.2391,3.981507708
65,1.245,7.0656,3.886099221
67.5,0,0,0
