Depth,BD,LOI,C
0,0.344,24.5708,13.51395539
5,0.312,30.1393,16.57661461
10,0.384,36.4103,20.02564103
15,0.603,36.315,19.97325658
20,0.407,31.6719,17.4195252
25,0.472,42.1284,23.17062107
30,0.349,45.207,24.86383852
35,0.229,51.1566,28.13612914
40,0.337,41.3516,22.7433852
45,0.291,36.1403,19.87714772
50,0.511,58.7205,32.29625591
55,0.314,47.5936,26.17650362
60,0.259,56.5522,31.10370538
65,0.37,59.6646,32.81553398
70,0.289,48.7021,26.78617525
75,0.313,47.0763,25.89198384
80,0.227,37.6665,20.71656723
85,0.233,43.6388,24.00132091
90,0.245,46.8332,25.75824528
95,0.239,57.2405,31.48228462
100,0.5,74.3919,40.91556481
105,0.398,27.7347,15.25410692
110,0.297,37.5289,20.64089595
115,0.265,47.4696,26.1082996
120,0.391,31.2078,17.16430067
125,0.693,15.2506,8.387850467
130,0.714,10.1943,5.606891954
135,0.388,19.4946,10.72203504
140,0.58,41.1818,22.65000804
145,0.447,23.0759,12.69173391
150,0.24,46.9934,25.84635668
155,0.55,81.0638,44.58510638
160,0.705,71.7094,39.44017816
165,0.532,40.7936,22.43650047
170,0.483,17.614,9.687686098
175,0.696,14.5519,8.003524673
180,0.393,19.2998,10.61487965
185,0.523,16.6481,9.15643487
190,0.493,16.7314,9.202271894
195,0.906,58.1783,31.99806679
200,0.526,44.2838,24.35607349
205,0,0,0
