Depth,BD,LOI,C
0,0.286,48.9078,26.89931125
5,0.831,20.1056,11.05809226
10,1.038,9.139,5.026427061
15,1.305,7.4303,4.086681548
20,1.327,4.5836,2.520952801
25,0.876,4.6946,2.582044331
30,1.167,3.8667,2.12667162
35,1.45,2.8422,1.563188692
40,1.876,2.7797,1.528833602
45,1.401,1.5047,0.827603819
50,1.213,7.4142,4.077790084
55,1.323,6.3305,3.481796185
60,1.307,6.0386,3.321209465
65,1.584,6.3663,3.501440922
70,1.306,5.165,2.840738141
75,1.456,5.1609,2.838489041
80,1.129,4.4973,2.473507366
85,1.145,4.267,2.346835272
90,1.399,3.2709,1.79897454
95,1.557,1.7872,0.982962636
100,1.471,2.3367,1.285188036
105,1.273,2.0647,1.135576447
110,0,0,0
