Depth,BD,LOI,C
0,1.156,1.3272,0.72997231
2.5,0.983,7.2484,3.986640136
5,0.672,10.2849,5.656696466
7.5,0.318,14.3771,7.907398195
10,0.453,18.9008,10.39545731
12.5,0.455,17.9756,9.886572976
15,0.372,17.7379,9.755821052
17.5,0.429,24.0141,13.2077727
20,0.47,32.0509,17.6279881
22.5,0.391,32.9082,18.09950859
25,0.325,33.449,18.3969245
27.5,0.207,47.7729,26.27508835
30,0.181,61.4417,33.79293944
32.5,0.223,58.7173,32.29452613
35,0.197,56.7227,31.19747899
37.5,0.145,64.8325,35.65786498
40,0.132,74.5251,40.98882682
42.5,0.147,76.9875,42.34313967
45,0.154,80.0767,44.04219314
47.5,0.107,30.6196,16.84078643
50,0.499,8.3325,4.582867311
52.5,0.87,4.7425,2.608360289
55,1.051,1.3012,0.715643275
57.5,1.156,1.2261,0.674329502
60,1.13,1.1111,0.611111111
62.5,1.338,1.4061,0.773357235
65,1.371,1.2985,0.714182082
67.5,1.155,1.2778,0.702766171
70,1.466,1.2589,0.692393883
72.5,0.569,12.3371,6.785395099
75,0.321,26.7249,14.69868173
77.5,0.176,34.999,19.24944646
80,0.211,46.801,25.74053724
82.5,0.187,49.4819,27.21506664
85,0.175,51.4862,28.31742243
87.5,0.179,37.172,20.44458152
90,0.379,26.4673,14.55703212
92.5,0.308,22.544,12.39920485
95,0.404,19.9273,10.96002194
97.5,0.234,22.1839,12.20115396
100,0.215,25.4754,14.01147396
102.5,0.226,21.8993,12.0445995
105,0.338,19.6634,10.81485622
107.5,0.208,20.7449,11.40969293
110,0.258,22.8278,12.55530619
112.5,0.174,27.1972,14.95845571
115,0.202,30.8437,16.96406123
117.5,0.176,26.7568,14.71621622
120,0.192,20.6477,11.35625069
122.5,0.272,16.138,8.8759001
125,0.311,12.974,7.135711516
127.5,0.188,13.7908,7.584951456
130,0.263,14.8694,8.178187404
132.5,0.289,12.739,7.006467603
135,0.392,10.4184,5.730127668
137.5,0.406,9.7517,5.363424266
140,0.306,9.8343,5.408839779
142.5,0.342,10.6219,5.842042467
145,0.312,12.2482,6.736508792
147.5,0.238,11.6943,6.431862568
150,0.265,11.675,6.421248835
152.5,0.374,12.7706,7.023844677
155,0.341,13.2626,7.294448809
157.5,0.206,13.116,7.21381353
160,0.3,13.5875,7.473110412
162.5,0.295,11.5049,6.32769397
165,0.395,9.5126,5.231934513
167.5,0.333,6.5046,3.577509902
170,0.456,5.2826,2.905451853
172.5,0.46,4.691,2.580054506
175,0.48,3.2145,1.767991132
177.5,0.426,3.9564,2.175999596
180,0.527,4.7893,2.634127192
182.5,0.455,3.4463,1.895438898
185,0.499,2.3544,1.294943621
187.5,0.476,1.9505,1.072793083
190,0.561,1.4214,0.781772575
192.5,0.464,1.6882,0.928492981
195,0.528,1.5647,0.86056413
197.5,0,0,0
