Site,Core_Name,SiteType,SpecificType,SamplingDepth,BulkDensity,C,CDensity
Gud,Gud2,Ditched,DitchedFar,0,0.07,43.9585,15.44
Gud,Gud2,Ditched,DitchedFar,5,0.0865,44.4712,19.05
Gud,Gud2,Ditched,DitchedFar,10,0.1295,42.9938,27.62
Gud,Gud2,Ditched,DitchedFar,15,0.142,36.0559,25.52
Gud,Gud2,Ditched,DitchedFar,20,0.209,27.4476,28.55
Gud,Gud2,Ditched,DitchedFar,25,0.208,26.1214,24.57
Gud,Gud2,Ditched,DitchedFar,30,0.154,27.15825,20.59
Gud,Gud2,Ditched,DitchedFar,35,0.1675,25.6239,21.45
Gud,Gud2,Ditched,DitchedFar,40,0.296,17.9312,26.57
Gud,Gud2,Ditched,DitchedFar,45,0.3085,16.5731,25.45
Gud,Gud2,Ditched,DitchedFar,50,0.3115,16.58745,25.78
Gud,Gud2,Ditched,DitchedFar,55,0.315,14.76,22.88
Gud,Gud2,Ditched,DitchedFar,60,0.1945,29.76235,28.93
Gud,Gud2,Ditched,DitchedFar,65,0.1915,26.58165,25.01
Gud,Gud2,Ditched,DitchedFar,70,0.4175,11.8271,24.17
Gud,Gud2,Ditched,DitchedFar,75,0.3705,15.71415,28.93
Gud,Gud2,Ditched,DitchedFar,80,0.413,11.0675,22.84
Gud,Gud2,Ditched,DitchedFar,85,0.611,6.397,19.09
Gud,Gud2,Ditched,DitchedFar,90,0.8005,2.8252,11.18
Gud,Gud2,Ditched,DitchedFar,95,0.9695,2.44205,11.9
Gud,Gud2,Ditched,DitchedFar,100,0.9895,2.20465,10.7
Gud,Gud2,Ditched,DitchedFar,105,0.957,2.1136,10.12
Gud,Gud4,Ditched,DitchedFar,0,0.149,37.3788,27.86
Gud,Gud4,Ditched,DitchedFar,5,0.145,37.8163,27.24
Gud,Gud4,Ditched,DitchedFar,10,0.194,28.8691,27.64
Gud,Gud4,Ditched,DitchedFar,15,0.3485,17.2369,29.4
Gud,Gud4,Ditched,DitchedFar,20,0.629,10.78875,33.62
Gud,Gud4,Ditched,DitchedFar,25,0.643,7.9101,25.27
Gud,Gud4,Ditched,DitchedFar,30,0.6795,7.5776,25.66
Gud,Gud4,Ditched,DitchedFar,35,0.7165,7.2676,25.92
Gud,Gud4,Ditched,DitchedFar,40,0.64,8.13935,26.13
Gud,Gud4,Ditched,DitchedFar,45,0.597,9.93985,29.41
Gud,Gud4,Ditched,DitchedFar,50,0.338,13.75585,23.28
Gud,Gud4,Ditched,DitchedFar,55,0.3235,14.51295,23.47
Gud,Gud4,Ditched,DitchedFar,60,0.3305,12.42945,20.6
Gud,Gud4,Ditched,DitchedFar,65,0.3775,10.90805,20.47
Gud,Gud4,Ditched,DitchedFar,70,0.6075,5.07225,15.31
Gud,Gud4,Ditched,DitchedFar,75,0.9215,2.398,10.83
Gud,Gud4,Ditched,DitchedFar,80,1.085,2.14805,11.63
Gud,Gud4,Ditched,DitchedFar,85,0.971,2.2994,11.24
Gud,Gud4,Ditched,DitchedFar,90,0.9745,1.2278,5.96
Gud,Gud4,Ditched,DitchedFar,95,1.132,1.0409,5.91
Gud,Gud4,Ditched,DitchedFar,100,1.3435,0.66745,4.61
Gud,Gud4,Ditched,DitchedFar,105,1.557,1.3582,9.4
Gud,Gud5,Ditched,DitchedNear,0,0.164,29.0155,23.78
Gud,Gud5,Ditched,DitchedNear,5,0.271,25.8513,34.42
Gud,Gud5,Ditched,DitchedNear,10,0.3665,12.11495,21.45
Gud,Gud5,Ditched,DitchedNear,15,0.868,3.7179,16.09
Gud,Gud5,Ditched,DitchedNear,20,1.2955,3.00295,19.39
Gud,Gud5,Ditched,DitchedNear,25,1.2805,2.7194,17.41
Gud,Gud5,Ditched,DitchedNear,30,1.1795,2.78805,16.42
Gud,Gud5,Ditched,DitchedNear,35,1.3885,3.1212,21.72
Gud,Gud5,Ditched,DitchedNear,40,1.142,3.83015,21.87
Gud,Gud5,Ditched,DitchedNear,45,1.0875,4.51705,24.49
Gud,Gud5,Ditched,DitchedNear,50,1.305,3.7161,24.29
Gud,Gud5,Ditched,DitchedNear,55,1.2045,3.49785,21.08
Gud,Gud5,Ditched,DitchedNear,60,0.9805,4.24555,20.81
Gud,Gud5,Ditched,DitchedNear,65,1.23,3.9338,24.18
Gud,Gud6,Ditched,DitchedNear,0,0.083,32.8597,13.7
Gud,Gud6,Ditched,DitchedNear,5,0.2405,23.94905,28.76
Gud,Gud6,Ditched,DitchedNear,10,0.6305,9.6448,25.23
Gud,Gud6,Ditched,DitchedNear,15,0.892,4.0783,17.83
Gud,Gud6,Ditched,DitchedNear,20,1.1815,1.11415,7.88
Gud,Gud6,Ditched,DitchedNear,25,1.437,1.3113,15.08
Gud,Gud8,Ditched,DitchedFar,0,0.169,25.4536,21.52
Gud,Gud8,Ditched,DitchedFar,5,0.2305,23.59225,27.11
Gud,Gud8,Ditched,DitchedFar,10,0.2705,22.71835,30.07
Gud,Gud8,Ditched,DitchedFar,15,0.3045,19.70745,30.04
Gud,Gud8,Ditched,DitchedFar,20,0.4235,15.23425,31.81
Gud,Gud8,Ditched,DitchedFar,25,0.58,8.15225,22.16
Gud,Gud8,Ditched,DitchedFar,30,0.8175,6.45105,26.42
Gud,Gud8,Ditched,DitchedFar,35,0.8545,5.6726,24.21
Gud,Gud8,Ditched,DitchedFar,40,0.5265,9.8646,26.38
Gud,Gud8,Ditched,DitchedFar,45,0.514,10.99945,28.24
Gud,Gud8,Ditched,DitchedFar,50,0.6535,7.79785,24.01
Gud,Gud8,Ditched,DitchedFar,55,0.495,12.85115,30.79
Gud,Gud8,Ditched,DitchedFar,60,0.3845,14.27235,27.39
Gud,Gud8,Ditched,DitchedFar,65,0.538,11.31475,30.51
Gud,Gud8,Ditched,DitchedFar,70,0.497,8.39985,20.62
Gud,Gud8,Ditched,DitchedFar,75,0.604,7.79555,23.54
Gud,Gud8,Ditched,DitchedFar,80,0.5705,8.21185,23.47
Gud,Gud8,Ditched,DitchedFar,85,0.66,7.85045,26.02
Gud,Gud8,Ditched,DitchedFar,90,0.613,7.20075,22.02
Gud,Gud8,Ditched,DitchedFar,95,0.825,4.7662,19.31
Gud,Gud8,Ditched,DitchedFar,100,0.886,3.2322,14.07
Gud,Gud8,Ditched,DitchedFar,105,0.9415,3.31655,15.84
Gud,Gud8,Ditched,DitchedFar,110,0.838,3.39435,14.23
Gud,Gud8,Ditched,DitchedFar,115,0.886,4.86175,21.52
Gud,Gud8,Ditched,DitchedFar,120,1.036,2.4811,12.19
Gud,Gud8,Ditched,DitchedFar,125,1.141,1.8451,10.48
Gud,Gud8,Ditched,DitchedFar,130,1.1965,1.2226,7.44
Gud,Gud8,Ditched,DitchedFar,135,0.795,0.9485,3.77
Gud,Gud8,Ditched,DitchedFar,140,1.057,0.93715,4.93
Gud,Gud8,Ditched,DitchedFar,145,1.4875,0.87795,6.54
Gud,Gud8,Ditched,DitchedFar,150,1.472,1.5343,11.28
Gud,Gud8,Ditched,DitchedFar,155,1.3995,1.45945,10.28
Gud,Gud8,Ditched,DitchedFar,160,1.403,1.2792,8.89
Gud,Gud8,Ditched,DitchedFar,165,1.4565,1.2214,8.9
Gud,Gud8,Ditched,DitchedFar,170,1.509,1.38395,10.45
Gud,Gud8,Ditched,DitchedFar,175,1.423,1.472,10.43
Gud,Gud8,Ditched,DitchedFar,180,1.1055,2.29465,12.85
Gud,Gud8,Ditched,DitchedFar,185,0.7975,5.13885,18.02
Gud,Gud8,Ditched,DitchedFar,190,0.8005,7.8842,31.56
Gud,Gud8,Ditched,DitchedFar,195,0.6135,7.23095,22.19
Gud,Gud8,Ditched,DitchedFar,200,0.501,4.93475,12.7
DeerA,DeerAC1,Intact,NonDitched,0,0.176,34.64621165,30.5
DeerA,DeerAC1,Intact,NonDitched,5,0.176,34.64621165,30.5
DeerA,DeerAC1,Intact,NonDitched,10,0.213,28.73364486,30.57
DeerA,DeerAC1,Intact,NonDitched,15,0.229,27.98129149,32
DeerA,DeerAC1,Intact,NonDitched,20,0.28,28.70576751,40.24
DeerA,DeerAC1,Intact,NonDitched,25,0.246,15.80627537,19.45
DeerA,DeerAC1,Intact,NonDitched,30,0.427,14.98373027,31.96
DeerA,DeerAC1,Intact,NonDitched,35,0.406,13.46929682,27.31
DeerA,DeerAC1,Intact,NonDitched,40,0.653,26.25629512,85.69
DeerA,DeerAC1,Intact,NonDitched,45,0.459,35.53919567,81.55
DeerA,DeerAC1,Intact,NonDitched,50,0.317,18.66660515,29.58
DeerA,DeerAC1,Intact,NonDitched,55,0.535,11.41242938,30.52
DeerA,DeerAC1,Intact,NonDitched,60,0.56,8.696142899,24.37
DeerA,DeerAC1,Intact,NonDitched,65,0.819,6.871267091,28.13
DeerA,DeerAC1,Intact,NonDitched,70,0.93,6.094898447,28.33
DeerA,DeerAC1,Intact,NonDitched,75,1.132,5.760716257,32.61
DeerA,DeerAC1,Intact,NonDitched,80,1.32,16.60107575,109.55
DeerA,DeerAC1,Intact,NonDitched,85,1.199,4.391698113,26.34
DeerA,DeerAC1,Intact,NonDitched,90,1.016,4.331392725,22
DeerA,DeerAC1,Intact,NonDitched,95,0.703,4.587763387,16.13
DeerA,DeerAC1,Intact,NonDitched,100,0.711,5.148072914,18.3
DeerA,DeerAC1,Intact,NonDitched,105,0.862,19.3622142,83.46
DeerA,DeerAC1,Intact,NonDitched,110,0.753,6.393162393,24.06
DeerA,DeerAC1,Intact,NonDitched,115,0.717,8.596663395,30.8
DeerA,DeerAC1,Intact,NonDitched,120,0.857,5.688529015,24.38
DeerA,DeerAC2,Intact,NonDitched,0,0.283,23.25268537,32.85
DeerA,DeerAC2,Intact,NonDitched,5,0.283,23.25268537,32.85
DeerA,DeerAC2,Intact,NonDitched,10,0.32,24.60668966,39.41
DeerA,DeerAC2,Intact,NonDitched,15,0.434,22.26372102,48.3
DeerA,DeerAC2,Intact,NonDitched,20,0.47,17.74317705,41.67
DeerA,DeerAC2,Intact,NonDitched,25,0.558,13.29511278,37.07
DeerA,DeerAC2,Intact,NonDitched,30,0.809,5.17184684,20.93
DeerA,DeerAC2,Intact,NonDitched,35,0.581,4.212993879,12.25
DeerB,Deer4Core,Intact,NonDitched,0,0.045,44.82323906,9.998
DeerB,Deer4Core,Intact,NonDitched,5,0.1005,40.34070346,20.187
DeerB,Deer4Core,Intact,NonDitched,10,0.1385,33.99758047,23.4776
DeerB,Deer4Core,Intact,NonDitched,15,0.165,32.40309556,26.7255
DeerB,Deer4Core,Intact,NonDitched,20,0.2435,29.87181248,36.3077
DeerB,Deer4Core,Intact,NonDitched,25,0.254,23.94188571,30.4664
DeerB,Deer4Core,Intact,NonDitched,30,0.375,19.63296734,37.109
DeerB,Deer4Core,Intact,NonDitched,35,0.3595,20.28919569,36.4652
DeerB,Deer4Core,Intact,NonDitched,40,0.294,19.81152145,29.1115
DeerB,Deer4Core,Intact,NonDitched,45,0.2685,23.1411258,31.0648
DeerB,Deer4Core,Intact,NonDitched,50,0.1915,20.54155913,19.9751
DeerB,Deer4Core,Intact,NonDitched,55,0.225,18.36090213,20.6138
DeerB,Deer4Core,Intact,NonDitched,60,0.189,22.38919585,21.2029
DeerB,Deer4Core,Intact,NonDitched,65,0.2235,37.89794054,42.3144
DeerB,Deer4Core,Intact,NonDitched,70,0.2005,43.06970097,43.2606
DeerB,Deer4Core,Intact,NonDitched,75,0.1675,39.58934244,33.0704
DeerB,Deer4Core,Intact,NonDitched,80,0.1265,43.22509069,27.3785
DeerB,Deer4Core,Intact,NonDitched,85,0.141,37.78524147,26.6507
DeerB,Deer4Core,Intact,NonDitched,90,0.1355,36.51007939,24.7322
DeerB,Deer4Core,Intact,NonDitched,95,0.139,33.81140729,23.5216
DeerB,Deer4Core,Intact,NonDitched,100,0.151,30.91196071,23.3085
DeerB,Deer4Core,Intact,NonDitched,105,0.1645,27.89642797,22.9109
DeerB,Deer4Core,Intact,NonDitched,110,0.156,26.67839756,20.7962
DeerB,Deer4Core,Intact,NonDitched,115,0.2735,17.77965121,23.9383
DeerB,Deer4Core,Intact,NonDitched,120,0.3475,12.77198105,21.9723
DeerB,Deer4Core,Intact,NonDitched,125,0.424,9.063089442,19.1697
DeerB,Deer4Core,Intact,NonDitched,130,0.4925,7.110398331,17.5162
DeerB,Deer4Core,Intact,NonDitched,135,0.4735,6.401517514,15.1275
DeerB,Deer4Core,Intact,NonDitched,140,0.503,5.689553161,14.3126
DeerB,Deer4Core,Intact,NonDitched,145,0.592,4.953697863,14.632
DeerB,Deer4Core,Intact,NonDitched,150,0.57,4.941814955,14.0512
DeerB,Deer4Core,Intact,NonDitched,155,0.6325,6.206687322,19.6133
DeerB,Deer4Core,Intact,NonDitched,160,0.601,7.314344905,21.9721
DeerB,Deer4Core,Intact,NonDitched,165,0.5915,7.113150586,20.9545
DeerB,Deer4Core,Intact,NonDitched,170,0.6395,6.916403588,22.1257
DeerB,Deer4Core,Intact,NonDitched,175,0.5935,7.687254468,22.7882
DeerB,Deer4Core,Intact,NonDitched,180,0.571,7.576231076,21.6143
DeerB,Deer4Core,Intact,NonDitched,185,0.583,6.97455401,20.3367
DeerB,Deer4Core,Intact,NonDitched,190,0.669,5.975494737,20.0388
DeerB,Deer4Core,Intact,NonDitched,195,0.5005,7.834560197,19.51
DeerB,Deer4Core,Intact,NonDitched,200,0.4495,8.701073914,19.5541
DeerB,Deer4Core,Intact,NonDitched,205,0.6225,7.473632803,23.3118
DeerB,Deer4Core,Intact,NonDitched,210,0.7135,6.660830798,23.7784
DeerB,Deer4Core,Intact,NonDitched,215,0.8635,3.988682402,16.8514
DeerB,Deer4Core,Intact,NonDitched,220,1.181,1.942387665,11.0935
DeerB,Deer4Core,Intact,NonDitched,225,1.2705,1.905786759,12.0898
DeerB,Deer4Core,Intact,NonDitched,230,1.1135,2.827521643,15.653
DeerB,Deer4Core,Intact,NonDitched,235,1.1065,2.88608517,15.9438
DeerB,Deer4Core,Intact,NonDitched,240,0.9545,2.64654322,12.6459
DeerB,Deer4Core,Intact,NonDitched,245,1.038,3.025986963,15.6691
DeerB,Deer4Core,Intact,NonDitched,250,0.945,2.265730489,5.3536
DeerB,DeerBC1,Ditched,DitchedFar,0,0.528,34.61273446,91.34
DeerB,DeerBC1,Ditched,DitchedFar,5,0.528,34.61273446,91.34
DeerB,DeerBC1,Ditched,DitchedFar,10,0.827,38.20711943,157.92
DeerB,DeerBC1,Ditched,DitchedFar,15,1.005,36.88159437,185.38
DeerB,DeerBC1,Ditched,DitchedFar,20,1.02,6.205428419,31.64
DeerB,DeerBC1,Ditched,DitchedFar,25,1.04,4.824753197,25.09
DeerB,DeerBC1,Ditched,DitchedFar,30,1.075,4.46714631,24
DeerB,DeerBC1,Ditched,DitchedFar,35,1.087,4.500041873,24.45
DeerB,DeerBC1,Ditched,DitchedFar,40,1.046,5.530395757,28.93
DeerB,DeerBC1,Ditched,DitchedFar,45,1.036,6.4434518,33.38
DeerB,DeerBC1,Ditched,DitchedFar,50,0.533,13.05585392,34.77
DeerB,DeerBC1,Ditched,DitchedFar,55,0.705,8.312732389,29.28
DeerB,DeerBC1,Ditched,DitchedFar,60,0.765,6.828672881,26.11
DeerB,DeerBC1,Ditched,DitchedFar,65,0.93,29.07822021,135.2
