Site Name,Core Name,,Disturbance,Type,,Distance_Ditch,,CD_Total,CD_Adjusted,CD_50,CD_Organic,CD_Mineral,,C_Total,C_Adjusted,C_50,,BD_Total,BD_Adjusted,BD_50
Deer A,Deer A1,,NonDitched,NonDitched,,,,907.84,408.85,408.8508545,601.86,305.98,,14.95,24.48,24.48,,0.647,0.34,0.34
Deer A,Deer A2,,NonDitched,NonDitched,,,,232.49,199.31,232.4858,199.31,33.18,,15.79,20.23,15.79,,0.494,0.413,0.494
Deer B,Deer B1,,Ditched,DitchedAway,,53.5,,910.39,910.39,636.9178,687.49,222.89,,16.38,16.38,15.47,,0.774,0.774,0.92
Deer B,Deer B2,,Ditched,DitchedNear,,14.1,,302.72,141.63,302.7197,141.63,161.09,,16.48,27.95,16.48,,0.573,0.289,0.573
Deer B,Deer B3,,NonDitched,NonDitched,,,,1127.27,671.56,288.904,671.56,455.71,,17.2,29.19,27.68,,0.466,0.206,0.234
Fawn A,Fawn A1,,Ditched,DitchedAway,,116.1,,202.22,113.04,202.2176,113.04,89.18,,20.95,34.31,20.95,,0.384,0.166,0.384
Fawn A,Fawn A2,,Ditched,DitchedNear,,48.4,,203.57,91.65,203.5665,91.65,111.92,,16.21,29.41,16.21,,0.631,0.252,0.631
Fawn E,Fawn E1,,Ditched,DitchedAway,,,,842.68,727.84,328.9605,527.75,314.93,,13.62,15.83,23.46,,0.476,0.403,0.336
Fawn E,Fawn E2,,Ditched,DitchedNear,,,,719.05,83.67,254.708,83.67,635.38,,4.79,19.68,9.29,,0.984,0.368,0.769
Fawn F,Fawn 4,,Ditched,DitchedNear,,46.1,,131.8,33.01,131.8031,33.01,98.79,,7.84,25.13,7.84,,1.083,0.317,1.083
Fawn F,Fawn 7,,Ditched,DitchedAway,,24.2,,201.03,54.65,201.0306,54.65,146.38,,6.92,19.09,6.92,,1.055,0.304,1.055
Gudmundsen,Gud 2,,Ditched,DitchedAway,,122.9,,463.59,394.69,239.8871674,343.35,120.24,,20.36,25.46,29.54,,0.371,0.234,0.189
Gudmundsen,Gud 4,,Ditched,DitchedAway,,46.8,,426.92,341.34,279.4850683,174.98,251.94,,10.33,15.44,16.11,,0.68,0.448,0.489
Gudmundsen,Gud 5,,Ditched,DitchedNear,,9.6,,295.52,56.4,216.1712676,56.4,239.12,,6.78,18.25,7.8,,1.013,0.382,0.957
Gudmundsen,Gud 6,,Ditched,DitchedNear,,13.8,,94.06,50.45,94.06331588,50.45,43.62,,11.17,23.79,11.17,,0.741,0.244,0.741
Gudmundsen,Gud 8,,Ditched,DitchedAway,,183,,773.42,356.45,265.311655,205.46,567.96,,7.03,13.55,13.95,,0.819,0.494,0.479
Mcginley,McGin 1,,Ditched,DitchedAway,,67.5,,1880.98,1880.98,380.7859,1692.33,188.65,,21.92,21.92,20.63,,0.426,0.426,0.37
Mcginley,McGin 2,,Ditched,DitchedNear,,26.1,,180.25,70.71,180.2462,70.71,109.54,,10.92,18.5,10.92,,0.644,0.414,0.644
Steverson,Steve 1,,NonDitched,NonDitched,,,,579.96,469.42,252.9242,358.28,221.67,,11.22,15.03,20.95,,0.428,0.459,0.376
Steverson,Steve 2,,Ditched,DitchedAway,,39.9,,615.06,452.9,386.3115,427.57,187.5,,19.35,23.93,27.41,,0.42,0.34,0.334
Steverson,Steve 3,,Ditched,DitchedNear,,8.95,,183.74,48.74,183.7368,48.74,135,,7.02,23.64,7.02,,1.104,0.412,1.104
